ID;value;MSE
0;1;1104.2782926029195
1;1;6277.871956608897
2;0;9396.476785486488
3;1;1758.8696699651923
4;0;5321.642525467899
5;0;2564.6847342955552
6;1;455.8881307746979
7;0;2187.9165336322053
8;1;776.8908534251818
9;1;4061.5097024037323
10;1;8877.486323419533
11;1;1758.8696699651923
12;1;1761.3790447943434
13;1;5320.245752009185
14;0;3205.207839921273
15;0;5259.667290835201
16;0;3241.791822936599
17;0;11445.513187724382
18;0;10440.733347912452
19;0;14240.727174566728
20;1;6398.113836039583
21;0;4599.613182712809
22;1;1887.7846759790789
23;0;4352.0841365516735
24;0;12540.400482477722
25;1;4058.9806220727864
26;1;14089.574205893608
27;0;6468.046628578718
28;0;15419.920711005412
29;0;5617.794314599166
30;0;3001.5257499134364
31;0;3941.505188343994
32;0;5565.814791427478
33;0;3885.4164156324605
34;1;5707.058685510178
35;1;4809.777250195907
36;1;3107.2185373498805
37;1;4195.528707652215
38;1;3140.644043974268
39;1;3322.398748929346
40;1;4264.00502706249
41;1;2190.027114427861
42;1;2404.4448540265703
43;1;4847.9994154684455
44;1;7310.479445720117
45;0;206.19368678585096
46;0;234.28081706850364
47;0;281.4714618300439
48;0;291.8364651103457
49;0;624.8341442968309
50;0;10942.007669527819
51;1;7355.573662365827
52;1;4430.630852605106
53;0;1021.7335811783573
54;0;1299.7055409764364
55;0;2915.858772529295
56;0;10174.289071127878
57;0;7757.619223935269
58;0;6487.638224627777
59;1;3761.774054635249
60;1;3495.514993712755
61;1;3169.3912028684417
62;1;4058.9806220727864
63;1;4775.1363653345
64;1;9859.590695788456
65;1;4239.292524101106
66;0;4168.816487616861
67;0;6506.726160862355
68;0;11982.969160151622
69;1;813.7981010697429
70;0;2312.529848468281
71;0;4715.443945565215
72;0;3463.2064708508738
73;1;2433.371502378219
74;1;6778.575021868679
75;1;5240.0809997630895
76;1;4078.3958777540865
77;1;2459.7914707597542
78;1;3562.5231694093636
79;1;6064.565786907951
80;1;4860.661378546826
81;1;6271.987835547537
82;0;4710.928565961402
83;0;6837.939793249868
84;0;2321.1423723871485
85;0;5403.990749093361
86;0;3170.0175254678984
87;0;10263.299158511472
88;0;3514.6174206804803
89;0;9996.558726969548
90;1;3632.2600172215843
91;0;5532.846962531664
92;0;3124.914158602591
93;0;3980.373040475279
94;0;18687.878564594608
95;1;3168.3511704299017
96;1;557.0464262934412
97;1;6098.361638692982
98;1;7111.130445756565
99;1;2543.585575784083
100;1;4609.660766679423
101;0;8444.706711406337
102;1;2165.185254132269
103;0;2188.4514346764345
104;1;1786.5683254970568
105;1;3607.6824262387695
106;1;3497.7086431396133
107;0;7717.747898784466
108;0;3051.5543682685475
109;0;8418.867802926758
110;0;6768.397245913291
111;0;8770.115761394492
112;0;2865.6030315455687
113;0;5156.875198640497
114;0;6193.462728026534
115;0;4209.433050407304
116;0;5369.220770688681
